core, soft_core, shell_gene, cloud_gene, pangenome
3640,161,1250,2568,7619
3546,236,1192,2914,7888
3463,258,1755,3059,8535
3718,86,1365,1100,6269
3656,160,1236,2390,7442
3566,163,1317,2111,7157
3703,99,1155,1712,6669
3608,150,1575,2483,7816
3660,215,1153,2024,7052
3583,207,1338,2637,7765
3588,263,1148,2510,7509
3557,147,1548,2837,8089
3458,244,1632,2758,8092
3610,191,1361,2115,7277
3608,149,1488,2236,7481
3616,140,1349,2436,7541
3674,125,1207,2608,7614
3551,185,1562,2841,8139
3547,236,1402,2540,7725
3670,72,1312,1794,6848
3568,186,1460,2679,7893
3636,155,1383,2085,7259
3642,155,1271,1902,6970
3615,169,1346,2551,7681
3606,248,1093,2073,7020
3691,84,1398,2842,8015
3645,143,1400,2608,7796
3581,220,1281,2523,7605
3631,183,1398,2036,7248
3609,154,1240,3519,8522
3616,142,1388,2466,7612
3654,81,1558,2492,7785
3681,96,1421,2370,7568
3673,171,1105,1874,6823
3590,168,1451,2471,7680
3605,177,1494,2211,7487
3618,191,1255,2405,7469
3712,88,1464,1879,7143
3697,121,1451,2464,7733
3572,132,1716,2940,8360
3648,164,1318,2236,7366
3650,199,1172,2188,7209
3681,142,1355,2080,7258
3635,131,1260,2391,7417
3671,165,1215,2027,7078
3551,200,1462,1904,7117
3622,169,1390,2561,7742
3682,140,1295,2228,7345
3700,105,1570,2512,7887
3681,121,1388,2578,7768
3561,117,1534,2353,7565
3582,210,1198,3075,8065
3726,100,1386,2445,7657
3655,116,1319,2537,7627
3618,149,1362,3126,8255
3627,164,1309,2400,7500
3609,132,1491,3062,8294
3622,175,1521,2741,8059
3654,146,1348,2475,7623
3584,153,1468,2911,8116
3649,148,1291,2645,7733
3662,148,1447,1881,7138
3655,156,1195,2605,7611
3658,166,1195,1594,6613
3728,80,1263,2187,7258
3513,237,1350,3476,8576
3570,220,1380,2587,7757
3662,136,1569,2260,7627
3563,132,1394,2598,7687
3562,173,1627,2817,8179
3608,184,1202,2469,7463
3722,185,1150,2012,7069
3612,188,1415,1674,6889
3584,171,1436,2974,8165
3529,163,1656,2676,8024
3587,151,1452,3043,8233
3599,175,1305,2601,7680
3539,193,1476,2320,7528
3705,180,999,1506,6390
3666,68,1618,2425,7777
3503,209,1515,3520,8747
3560,139,1699,2457,7855
3714,103,1460,1942,7219
3730,151,1181,1533,6595
3629,204,1244,2387,7464
3548,183,1581,2725,8037
3631,230,1267,2221,7349
3590,195,1226,2825,7836
3642,138,1281,2293,7354
3586,181,1439,3071,8277
3632,66,1561,2356,7615
3665,131,1284,2011,7091
3568,133,1709,2650,8060
3701,130,1289,2305,7425
3555,204,1479,2273,7511
3705,90,1432,2573,7800
3665,105,1432,2093,7295
3640,162,1403,2956,8161
3627,145,1560,2636,7968
3555,160,1395,2471,7581
